1|200,47,4|11,2,0,0||
2|230,64,6|12,3,0,1||
3|260,81,5|13,4,0,2||
4|290,99,4|14,5,0,3||
5|320,116,6|15,6,0,4||
6|350,133,5|16,0,0,5||
11|170,64,6|21,12,1,0||
12|200,81,5|22,13,2,11||
13|230,99,4|23,14,3,12||
14|260,116,6|24,15,4,13||
15|290,133,5|25,16,5,14||
16|320,151,4|26,17,6,15||
17|350,168,6|27,0,7,16||
21|140,81,5|31,22,11,0||
22|170,99,4|32,23,12,21||
23|200,116,6|33,24,13,22||
24|230,133,5|34,25,14,23||
25|260,151,4|35,26,15,24||
26|290,168,6|36,27,16,25||
27|320,185,5|37,28,17,26||
28|350,203,4|38,0,18,27||
31|110,99,4|41,32,21,0||
32|140,116,6|42,33,22,31||
33|170,133,5|43,34,23,32||
34|200,151,4|44,35,24,33||
35|230,168,6|45,36,25,34||
36|260,185,5|46,37,26,35||
37|290,203,4|47,38,27,36||
38|320,220,6|48,39,28,37||
39|350,237,5|49,0,29,38||
41|80,116,6|51,42,31,0||
42|110,133,5|52,43,32,41||
43|140,151,4|53,44,33,42||
44|170,168,6|54,45,34,43||
45|200,185,5|55,46,35,44||
46|230,203,4|56,47,36,45||
47|260,220,6|57,48,37,46||
48|290,237,5|58,49,38,47||
49|320,255,4|59,50,39,48||
50|350,272,6|60,0,40,49||
51|50,133,5|61,52,41,0||
52|80,151,4|62,53,42,51||
53|110,168,6|63,54,43,52||
54|140,185,5|64,55,44,53||
55|170,203,4|65,56,45,54||
56|200,220,6|66,57,46,55||
57|230,237,5|67,58,47,56||
58|260,255,4|68,59,48,57||
59|290,272,6|69,60,49,58||
60|320,289,5|70,61,50,59||
61|350,307,4|71,0,51,60||
62|50,168,6|72,63,52,0||
63|80,185,5|73,64,53,62||
64|110,203,4|74,65,54,63||
65|140,220,6|75,66,55,64||
66|170,237,5|76,67,56,65||
67|200,255,4|77,68,57,66||
68|230,272,6|78,69,58,67||
69|260,289,5|79,70,59,68||
70|290,307,4|80,71,60,69||
71|320,324,6|81,0,61,70||
73|50,203,4|83,74,63,0||
74|80,220,6|84,75,64,73||
75|110,237,5|85,76,65,74||
76|140,255,4|86,77,66,75||
77|170,272,6|87,78,67,76||
78|200,289,5|88,79,68,77||
79|230,307,4|89,80,69,78||
80|260,324,6|90,81,70,79||
81|290,341,5|91,0,71,80||
84|50,237,5|94,85,74,0||
85|80,255,4|95,86,75,84||
86|110,272,6|96,87,76,85||
87|140,289,5|97,88,77,86||
88|170,307,4|98,89,78,87||
89|200,324,6|99,90,79,88||
90|230,341,5|100,91,80,89||
91|260,359,4|101,0,81,90||
95|50,272,6|105,96,85,0||
96|80,289,5|106,97,86,95||
97|110,307,4|107,98,87,96||
98|140,324,6|108,99,88,97||
99|170,341,5|109,100,89,98||
100|200,359,4|110,101,90,99||
101|230,376,6|111,0,91,100||
106|50,307,4|0,107,96,0||
107|80,324,6|0,108,97,106||
108|110,341,5|0,109,98,107||
109|140,359,4|0,110,99,108||
110|170,376,6|0,111,100,109||
111|200,393,5|0,0,101,110||
